Date,Region,Location from list,Title,Code,Elevation,Caught,Buried,Killed,Aspect,Vertical Fall,Latitude,Longitude,Avalanche Type,Bed Surface,D size,R size,Problem Type,Trigger,Slab Thickness units
5/3/2025,Bridger Range,Bridger Bowl,Skier triggered wet Slide off of The Nose,WL-AS-R2-D1.5,7800,0,0,,E,,45.8156,-110.923,Wet loose-snow avalanche,,1.5,2,,Skier,centimeters
5/1/2025,Bridger Range,Bridger Bowl,Large recent wet loose avalanches at Bridger,WL-N-R2-D2,8000,0,0,,E,,45.8084,-110.93,Wet loose-snow avalanche,,2,2,Loose Wet,Natural trigger,centimeters
,,,,,,,,,,,,,,,,,,,
4/19/2025,Bridger Range,Northern Bridgers,"Skier-triggered small soft slab, northern Bridger Range",SS-AS-R1-D1-I,7700,0,0,,NE,,45.9196,-110.976,Soft slab avalanche,I - Interface between new and old snow,1,1,Wind Slab,Skier,centimeters
4/19/2025,Cooke City,Sheep Mountain,small wind slab and dry loose slides,SS-AS-R1-D1-I,10200,0,0,,NE,150,45.0722,-109.928,Soft slab avalanche,I - Interface between new and old snow,1,1,Wind Slab,Skier,inches
4/18/2025,Bridger Range,Fairy Lake,Wet loose in northern bridgers,WL-N-R1-D1,,0,0,,,,45.9043,-110.958,Wet loose-snow avalanche,,1,1,Loose Wet,Natural trigger,centimeters
4/13/2025,Cooke City,COOKE CITY,Wind Slab Activity in Cooke City,SS-N-R2-D2-I,,0,0,,,,45.0202,-109.938,Soft slab avalanche,I - Interface between new and old snow,2,2,Wind Slab,Natural trigger,centimeters
,,,,,,,,,,,,,,,,,,,
4/11/2025,Cooke City,Hayden Creek,wet loose avalanches south of Cooke,WL-N-D1,,0,0,,,,44.9952,-109.908,Wet loose-snow avalanche,,1,,Wet Snow,Natural trigger,centimeters
,,,,,,,,,,,,,,,,,,,
4/9/2025,Northern Madison,,Wind slabs in N. Madison,SS-NCc-R1-D1.5,,0,0,,,,,,Soft slab avalanche,,1.5,1,Wind Slab,Cornice fall,inches
